zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,0.73,0.65,0.6,0.57,0.55,0.55,0.54,0.53,0.61,0.75,0.84,0.91,0.87,0.78,0.74,0.74,0.84,0.95,0.98,1.01,0.97,0.93,0.82,0.62
2,1.17,1.05,0.96,0.91,0.89,0.88,0.86,0.85,0.97,1.2,1.35,1.46,1.4,1.25,1.19,1.18,1.34,1.51,1.56,1.61,1.55,1.49,1.32,0.99
3,0.93,0.84,0.77,0.73,0.71,0.71,0.69,0.68,0.78,0.96,1.08,1.17,1.11,1,0.95,0.94,1.07,1.21,1.25,1.29,1.24,1.19,1.05,0.79
